-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
faː˥	⠋⠃⠀	ᄫᅡ	faa1	faa1	faa55^1	faa55^1	fa	fä	fa1	fa1°	ˈfa	ˈfaa	fā
faː˥˧	↦ ⠋⠃⠀ [faː˥]	↦ ᄫᅡ [faː˥]	↦ faa1 [faː˥]	↦ faa1 [faː˥]	faa53^1	faa53^1	↦ fa [faː˥]	↦ fä [faː˥]	↦ fa1 [faː˥]	fa1	↦ ˈfa [faː˥]	↦ ˈfaa [faː˥]	fà
faː˧	⠋⠃⠈	ᄫᅡ〮	faa3	faa3	faa33^3	faa33^3	fà	fâ	fa3	fa3	ˉfa	ˉfaa	fa
faː˧˥	⠋⠃⠁	ᄫᅡ〯	faa2	faa2	faa35^2	faa35^2	fá	fã	fa2	fa2	ˊfa	ˊfaa	fá
faː˨	⠋⠃⠂	ᄫᅡ̣	faa6	faa6	faa22_3	faa22_3	fā	fà	fa6	fa6	ˍfa	ˍfaa	fah
faː˩	⠋⠃⠄	ᄫᅡ̲	faa4	faa4	faa11_1	faa11_1	fâ	fa	fa4	fa4	ˌfa	ˌfaa	fàh
faː˩˧	⠋⠃⠠	ᄫᅡ̤	faa5	faa5	faa13_2	faa13_2	fǎ	fá	fa5	fa5	ˏfa	ˏfaa	fáh
faːi̯˥	⠋⠬⠀	ᄫᅢ	faai1	faai1	faai55^1	faai55^1	faai	fäi	fai1	faai1°	ˈfai	ˈfaai	fāai
faːi̯˥˧	↦ ⠋⠬⠀ [faːi̯˥]	↦ ᄫᅢ [faːi̯˥]	↦ faai1 [faːi̯˥]	↦ faai1 [faːi̯˥]	faai53^1	faai53^1	↦ faai [faːi̯˥]	↦ fäi [faːi̯˥]	↦ fai1 [faːi̯˥]	faai1	↦ ˈfai [faːi̯˥]	↦ ˈfaai [faːi̯˥]	fàai
faːi̯˧	⠋⠬⠈	ᄫᅢ〮	faai3	faai3	faai33^3	faai33^3	faaì	fâi	fai3	faai3	ˉfai	ˉfaai	faai
faːi̯˧˥	⠋⠬⠁	ᄫᅢ〯	faai2	faai2	faai35^2	faai35^2	faaí	fãi	fai2	faai2	ˊfai	ˊfaai	fáai
faːi̯˨	⠋⠬⠂	ᄫᅢ̣	faai6	faai6	faai22_3	faai22_3	faaī	fài	fai6	faai6	ˍfai	ˍfaai	faaih
faːi̯˩	⠋⠬⠄	ᄫᅢ̲	faai4	faai4	faai11_1	faai11_1	faaî	fai	fai4	faai4	ˌfai	ˌfaai	fàaih
faːi̯˩˧	⠋⠬⠠	ᄫᅢ̤	faai5	faai5	faai13_2	faai13_2	faaǐ	fái	fai5	faai5	ˏfai	ˏfaai	fáaih
faːk̚˥	⠋⠅⠀	ᄫᅡᆨ	faak7	faak1	faak55^4	faak55^4	faak	fäg	fag1	faak1°	ˈfak	ˈfaak	fāak
faːk̚˥˧	↦ ⠋⠅⠀ [faːk̚˥]	↦ ᄫᅡᆨ [faːk̚˥]	↦ faak7 [faːk̚˥]	↦ faak1 [faːk̚˥]	⊖	⊖	↦ faak [faːk̚˥]	↦ fäg [faːk̚˥]	↦ fag1 [faːk̚˥]	faak1	↦ ˈfak [faːk̚˥]	↦ ˈfaak [faːk̚˥]	fàak
faːk̚˧	⠋⠅⠈	ᄫᅡᆨ〮	faak8	faak3	faak33-4	faak33-4	faàk	fâg	fag3	faak3	ˉfak	ˉfaak	faak
faːk̚˧˥	⠋⠅⠁	ᄫᅡᆨ〯	faak2	faak2	⊖	⊖	faák	fãg	fag2	faak2	ˊfak	ˊfaak	fáak
faːk̚˨	⠋⠅⠂	ᄫᅡᆨ̣	faak9	faak6	faak22_4	faak22_4	faāk	fàg	fag6	faak6	ˍfak	ˍfaak	faahk
faːk̚˩	⠋⠅⠄	ᄫᅡᆨ̲	faak4	faak4	⊖	⊖	faâk	fag	fag4	faak4	ˌfak	ˌfaak	fàahk
faːk̚˩˧	⠋⠅⠠	ᄫᅡᆨ̤	faak5	faak5	⊖	⊖	faǎk	fág	fag5	faak5	ˏfak	ˏfaak	fáahk
faːm˥	⠋⠜⠀	ᄫᅡᆷ	faam1	faam1	faam55^1	faam55^1	faam	fäm	fam1	faam1°	ˈfam	ˈfaam	fāam
faːm˥˧	↦ ⠋⠜⠀ [faːm˥]	↦ ᄫᅡᆷ [faːm˥]	↦ faam1 [faːm˥]	↦ faam1 [faːm˥]	faam53^1	faam53^1	↦ faam [faːm˥]	↦ fäm [faːm˥]	↦ fam1 [faːm˥]	faam1	↦ ˈfam [faːm˥]	↦ ˈfaam [faːm˥]	fàam
faːm˧	⠋⠜⠈	ᄫᅡᆷ〮	faam3	faam3	faam33^3	faam33^3	faàm	fâm	fam3	faam3	ˉfam	ˉfaam	faam
faːm˧˥	⠋⠜⠁	ᄫᅡᆷ〯	faam2	faam2	faam35^2	faam35^2	faám	fãm	fam2	faam2	ˊfam	ˊfaam	fáam
faːm˨	⠋⠜⠂	ᄫᅡᆷ̣	faam6	faam6	faam22_3	faam22_3	faām	fàm	fam6	faam6	ˍfam	ˍfaam	faahm
faːm˩	⠋⠜⠄	ᄫᅡᆷ̲	faam4	faam4	faam11_1	faam11_1	faâm	fam	fam4	faam4	ˌfam	ˌfaam	fàahm
faːm˩˧	⠋⠜⠠	ᄫᅡᆷ̤	faam5	faam5	faam13_2	faam13_2	faǎm	fám	fam5	faam5	ˏfam	ˏfaam	fáahm
faːn˥	⠋⠘⠀	ᄫᅡᆫ	faan1	faan1	faan55^1	faan55^1	faan	fän	fan1	faan1°	ˈfan	ˈfaan	fāan
faːn˥˧	↦ ⠋⠘⠀ [faːn˥]	↦ ᄫᅡᆫ [faːn˥]	↦ faan1 [faːn˥]	↦ faan1 [faːn˥]	faan53^1	faan53^1	↦ faan [faːn˥]	↦ fän [faːn˥]	↦ fan1 [faːn˥]	faan1	↦ ˈfan [faːn˥]	↦ ˈfaan [faːn˥]	fàan
faːn˧	⠋⠘⠈	ᄫᅡᆫ〮	faan3	faan3	faan33^3	faan33^3	faàn	fân	fan3	faan3	ˉfan	ˉfaan	faan
faːn˧˥	⠋⠘⠁	ᄫᅡᆫ〯	faan2	faan2	faan35^2	faan35^2	faán	fãn	fan2	faan2	ˊfan	ˊfaan	fáan
faːn˨	⠋⠘⠂	ᄫᅡᆫ̣	faan6	faan6	faan22_3	faan22_3	faān	fàn	fan6	faan6	ˍfan	ˍfaan	faahn
faːn˩	⠋⠘⠄	ᄫᅡᆫ̲	faan4	faan4	faan11_1	faan11_1	faân	fan	fan4	faan4	ˌfan	ˌfaan	fàahn
faːn˩˧	⠋⠘⠠	ᄫᅡᆫ̤	faan5	faan5	faan13_2	faan13_2	faǎn	fán	fan5	faan5	ˏfan	ˏfaan	fáahn
faːp̚˥	⠋⠏⠀	ᄫᅡᆸ	faap7	faap1	faap55^4	faap55^4	faap	fäb	fab1	faap1°	ˈfap	ˈfaap	fāap
faːp̚˥˧	↦ ⠋⠏⠀ [faːp̚˥]	↦ ᄫᅡᆸ [faːp̚˥]	↦ faap7 [faːp̚˥]	↦ faap1 [faːp̚˥]	⊖	⊖	↦ faap [faːp̚˥]	↦ fäb [faːp̚˥]	↦ fab1 [faːp̚˥]	faap1	↦ ˈfap [faːp̚˥]	↦ ˈfaap [faːp̚˥]	fàap
faːp̚˧	⠋⠏⠈	ᄫᅡᆸ〮	faap8	faap3	faap33-4	faap33-4	faàp	fâb	fab3	faap3	ˉfap	ˉfaap	faap
faːp̚˧˥	⠋⠏⠁	ᄫᅡᆸ〯	faap2	faap2	⊖	⊖	faáp	fãb	fab2	faap2	ˊfap	ˊfaap	fáap
faːp̚˨	⠋⠏⠂	ᄫᅡᆸ̣	faap9	faap6	faap22_4	faap22_4	faāp	fàb	fab6	faap6	ˍfap	ˍfaap	faahp
faːp̚˩	⠋⠏⠄	ᄫᅡᆸ̲	faap4	faap4	⊖	⊖	faâp	fab	fab4	faap4	ˌfap	ˌfaap	fàahp
faːp̚˩˧	⠋⠏⠠	ᄫᅡᆸ̤	faap5	faap5	⊖	⊖	faǎp	fáb	fab5	faap5	ˏfap	ˏfaap	fáahp
faːt̚˥	⠋⠞⠀	ᄫᅡᆮ	faat7	faat1	faat55^4	faat55^4	faat	fäd	fad1	faat1°	ˈfat	ˈfaat	fāat
faːt̚˥˧	↦ ⠋⠞⠀ [faːt̚˥]	↦ ᄫᅡᆮ [faːt̚˥]	↦ faat7 [faːt̚˥]	↦ faat1 [faːt̚˥]	⊖	⊖	↦ faat [faːt̚˥]	↦ fäd [faːt̚˥]	↦ fad1 [faːt̚˥]	faat1	↦ ˈfat [faːt̚˥]	↦ ˈfaat [faːt̚˥]	fàat
faːt̚˧	⠋⠞⠈	ᄫᅡᆮ〮	faat8	faat3	faat33-4	faat33-4	faàt	fâd	fad3	faat3	ˉfat	ˉfaat	faat
faːt̚˧˥	⠋⠞⠁	ᄫᅡᆮ〯	faat2	faat2	⊖	⊖	faát	fãd	fad2	faat2	ˊfat	ˊfaat	fáat
faːt̚˨	⠋⠞⠂	ᄫᅡᆮ̣	faat9	faat6	faat22_4	faat22_4	faāt	fàd	fad6	faat6	ˍfat	ˍfaat	faaht
faːt̚˩	⠋⠞⠄	ᄫᅡᆮ̲	faat4	faat4	⊖	⊖	faât	fad	fad4	faat4	ˌfat	ˌfaat	fàaht
faːt̚˩˧	⠋⠞⠠	ᄫᅡᆮ̤	faat5	faat5	⊖	⊖	faǎt	fád	fad5	faat5	ˏfat	ˏfaat	fáaht
faːu̯˥	⠋⠌⠀	ᄫᅷ	faau1	faau1	faau55^1	faau55^1	faau	fäu	fao1	faau1°	ˈfau	ˈfaau	fāau
faːu̯˥˧	↦ ⠋⠌⠀ [faːu̯˥]	↦ ᄫᅷ [faːu̯˥]	↦ faau1 [faːu̯˥]	↦ faau1 [faːu̯˥]	faau53^1	faau53^1	↦ faau [faːu̯˥]	↦ fäu [faːu̯˥]	↦ fao1 [faːu̯˥]	faau1	↦ ˈfau [faːu̯˥]	↦ ˈfaau [faːu̯˥]	fàau
faːu̯˧	⠋⠌⠈	ᄫᅷ〮	faau3	faau3	faau33^3	faau33^3	faaù	fâu	fao3	faau3	ˉfau	ˉfaau	faau
faːu̯˧˥	⠋⠌⠁	ᄫᅷ〯	faau2	faau2	faau35^2	faau35^2	faaú	fãu	fao2	faau2	ˊfau	ˊfaau	fáau
faːu̯˨	⠋⠌⠂	ᄫᅷ̣	faau6	faau6	faau22_3	faau22_3	faaū	fàu	fao6	faau6	ˍfau	ˍfaau	faauh
faːu̯˩	⠋⠌⠄	ᄫᅷ̲	faau4	faau4	faau11_1	faau11_1	faaû	fau	fao4	faau4	ˌfau	ˌfaau	fàauh
faːu̯˩˧	⠋⠌⠠	ᄫᅷ̤	faau5	faau5	faau13_2	faau13_2	faaǔ	fáu	fao5	faau5	ˏfau	ˏfaau	fáauh
faːy̯˥	△	△	△	△	faay55^1	faay55^1	△	△	△	△	ˈfay	△	△
faːy̯˥˧	△	△	△	△	faay53^1	faay53^1	△	△	△	△	↦ ˈfay [faːy̯˥]	△	△
faːy̯˧	△	△	△	△	faay33^3	faay33^3	△	△	△	△	ˉfay	△	△
faːy̯˧˥	△	△	△	△	faay35^2	faay35^2	△	△	△	△	ˊfay	△	△
faːy̯˨	△	△	△	△	faay22_3	faay22_3	△	△	△	△	ˍfay	△	△
faːy̯˩	△	△	△	△	faay11_1	faay11_1	△	△	△	△	ˌfay	△	△
faːy̯˩˧	△	△	△	△	faay13_2	faay13_2	△	△	△	△	ˏfay	△	△
faːŋ˥	⠋⠉⠀	ᄫᅡᇰ	faang1	faang1	faaŋ55^1	faang55^1	faang	fäng	fang1	faang1°	ˈfaŋ	ˈfaang	fāang
faːŋ˥˧	↦ ⠋⠉⠀ [faːŋ˥]	↦ ᄫᅡᇰ [faːŋ˥]	↦ faang1 [faːŋ˥]	↦ faang1 [faːŋ˥]	faaŋ53^1	faang53^1	↦ faang [faːŋ˥]	↦ fäng [faːŋ˥]	↦ fang1 [faːŋ˥]	faang1	↦ ˈfaŋ [faːŋ˥]	↦ ˈfaang [faːŋ˥]	fàang
faːŋ˧	⠋⠉⠈	ᄫᅡᇰ〮	faang3	faang3	faaŋ33^3	faang33^3	faàng	fâng	fang3	faang3	ˉfaŋ	ˉfaang	faang
faːŋ˧˥	⠋⠉⠁	ᄫᅡᇰ〯	faang2	faang2	faaŋ35^2	faang35^2	faáng	fãng	fang2	faang2	ˊfaŋ	ˊfaang	fáang
faːŋ˨	⠋⠉⠂	ᄫᅡᇰ̣	faang6	faang6	faaŋ22_3	faang22_3	faāng	fàng	fang6	faang6	ˍfaŋ	ˍfaang	faahng
faːŋ˩	⠋⠉⠄	ᄫᅡᇰ̲	faang4	faang4	faaŋ11_1	faang11_1	faâng	fang	fang4	faang4	ˌfaŋ	ˌfaang	fàahng
faːŋ˩˧	⠋⠉⠠	ᄫᅡᇰ̤	faang5	faang5	faaŋ13_2	faang13_2	faǎng	fáng	fang5	faang5	ˏfaŋ	ˏfaang	fáahng
fe˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fe˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fe˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fe˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fe˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fe˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fe˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fei̯˥	⠋⠓⠀	ᄫᅦ	fei1	fei1	fei55^1	fei55^1	fei	fëy	féi1	fei1°	ˈfei	ˈfei	fēi
fei̯˥˧	↦ ⠋⠓⠀ [fei̯˥]	↦ ᄫᅦ [fei̯˥]	↦ fei1 [fei̯˥]	↦ fei1 [fei̯˥]	fei53^1	fei53^1	↦ fei [fei̯˥]	↦ fëy [fei̯˥]	↦ féi1 [fei̯˥]	fei1	↦ ˈfei [fei̯˥]	↦ ˈfei [fei̯˥]	fèi
fei̯˧	⠋⠓⠈	ᄫᅦ〮	fei3	fei3	fei33^3	fei33^3	feì	fêy	féi3	fei3	ˉfei	ˉfei	fei
fei̯˧˥	⠋⠓⠁	ᄫᅦ〯	fei2	fei2	fei35^2	fei35^2	feí	fẽy	féi2	fei2	ˊfei	ˊfei	féi
fei̯˨	⠋⠓⠂	ᄫᅦ̣	fei6	fei6	fei22_3	fei22_3	feī	fèy	féi6	fei6	ˍfei	ˍfei	feih
fei̯˩	⠋⠓⠄	ᄫᅦ̲	fei4	fei4	fei11_1	fei11_1	feî	fey	féi4	fei4	ˌfei	ˌfei	fèih
fei̯˩˧	⠋⠓⠠	ᄫᅦ̤	fei5	fei5	fei13_2	fei13_2	feǐ	féy	féi5	fei5	ˏfei	ˏfei	féih
fek̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fek̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fek̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fek̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fek̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fek̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fek̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fem˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fem˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fem˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fem˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fem˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fem˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fem˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fen˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fen˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fen˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fen˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fen˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fen˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fen˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fep̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fep̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fep̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fep̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fep̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fep̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fep̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fet̚˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fet̚˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fet̚˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fet̚˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fet̚˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fet̚˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fet̚˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
feu̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
feu̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
feu̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
feu̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
feu̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
feu̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
feu̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fey̯˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fey̯˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fey̯˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fey̯˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
fey̯˨	△	△	△	△	△	△	△	△	△	△	△	△	△
fey̯˩	△	△	△	△	△	△	△	△	△	△	△	△	△
fey̯˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
feŋ˥	△	△	△	△	△	△	△	△	△	△	△	△	△
feŋ˥˧	△	△	△	△	△	△	△	△	△	△	△	△	△
feŋ˧	△	△	△	△	△	△	△	△	△	△	△	△	△
feŋ˧˥	△	△	△	△	△	△	△	△	△	△	△	△	△
feŋ˨	△	△	△	△	△	△	△	△	△	△	△	△	△
feŋ˩	△	△	△	△	△	△	△	△	△	△	△	△	△
feŋ˩˧	△	△	△	△	△	△	△	△	△	△	△	△	△
fiː˥	⠋⠊⠀	ᄫᅵ	fi1	fi1	fi55^1	fi55^1	fi	fï	fi1	fi1°	ˈfi	ˈfi	fī
fiː˥˧	↦ ⠋⠊⠀ [fiː˥]	↦ ᄫᅵ [fiː˥]	↦ fi1 [fiː˥]	↦ fi1 [fiː˥]	fi53^1	fi53^1	↦ fi [fiː˥]	↦ fï [fiː˥]	↦ fi1 [fiː˥]	fi1	↦ ˈfi [fiː˥]	↦ ˈfi [fiː˥]	fì
fiː˧	⠋⠊⠈	ᄫᅵ〮	fi3	fi3	fi33^3	fi33^3	fì	fî	fi3	fi3	ˉfi	ˉfi	fi
fiː˧˥	⠋⠊⠁	ᄫᅵ〯	fi2	fi2	fi35^2	fi35^2	fí	fĩ	fi2	fi2	ˊfi	ˊfi	fí
fiː˨	⠋⠊⠂	ᄫᅵ̣	fi6	fi6	fi22_3	fi22_3	fī	fì	fi6	fi6	ˍfi	ˍfi	fih
fiː˩	⠋⠊⠄	ᄫᅵ̲	fi4	fi4	fi11_1	fi11_1	fî	fi	fi4	fi4	ˌfi	ˌfi	fìh
fiː˩˧	⠋⠊⠠	ᄫᅵ̤	fi5	fi5	fi13_2	fi13_2	fǐ	fí	fi5	fi5	ˏfi	ˏfi	fíh
fiːk̚˥	△	△	↦ fik7 [fɪk̚˥]	↦ fik1 [fɪk̚˥]	↦ fik55^4 [fɪk̚˥]	↦ fik55^4 [fɪk̚˥]	↦ fik [fɪk̚˥]	fïg	↦ fig1 [fɪk̚˥]	↦ fik1° [fɪk̚˥]	↦ ˈfik [fɪk̚˥]	↦ ˈfik [fɪk̚˥]	↦ fīk [fɪk̚˥]
fiːk̚˥˧	△	△	↦ fik7 [fɪk̚˥]	↦ fik1 [fɪk̚˥]	⊖	⊖	↦ fik [fɪk̚˥]	↦ fïg [fiːk̚˥]	↦ fig1 [fɪk̚˥]	↦ fik1 [fɪk̚˥˧]	↦ ˈfik [fɪk̚˥]	↦ ˈfik [fɪk̚˥]	↦ fìk [fɪk̚˥˧]
fiːk̚˧	△	△	↦ fik8 [fɪk̚˧]	↦ fik3 [fɪk̚˧]	↦ fik33-4 [fɪk̚˧]	↦ fik33-4 [fɪk̚˧]	↦ fìk [fɪk̚˧]	fîg	↦ fig3 [fɪk̚˧]	↦ fik3 [fɪk̚˧]	↦ ˉfik [fɪk̚˧]	↦ ˉfik [fɪk̚˧]	↦ fik [fɪk̚˧]
fiːk̚˧˥	△	△	↦ fik2 [fɪk̚˧˥]	↦ fik2 [fɪk̚˧˥]	⊖	⊖	↦ fík [fɪk̚˧˥]	fĩg	↦ fig2 [fɪk̚˧˥]	↦ fik2 [fɪk̚˧˥]	↦ ˊfik [fɪk̚˧˥]	↦ ˊfik [fɪk̚˧˥]	↦ fík [fɪk̚˧˥]
fiːk̚˨	△	△	↦ fik9 [fɪk̚˨]	↦ fik6 [fɪk̚˨]	↦ fik22_4 [fɪk̚˨]	↦ fik22_4 [fɪk̚˨]	↦ fīk [fɪk̚˨]	fìg	↦ fig6 [fɪk̚˨]	↦ fik6 [fɪk̚˨]	↦ ˍfik [fɪk̚˨]	↦ ˍfik [fɪk̚˨]	↦ fihk [fɪk̚˨]
fiːk̚˩	△	△	↦ fik4 [fɪk̚˩]	↦ fik4 [fɪk̚˩]	⊖	⊖	↦ fîk [fɪk̚˩]	fig	↦ fig4 [fɪk̚˩]	↦ fik4 [fɪk̚˩]	↦ ˌfik [fɪk̚˩]	↦ ˌfik [fɪk̚˩]	↦ fìhk [fɪk̚˩]
fiːk̚˩˧	△	△	↦ fik5 [fɪk̚˩˧]	↦ fik5 [fɪk̚˩˧]	⊖	⊖	↦ fǐk [fɪk̚˩˧]	fíg	↦ fig5 [fɪk̚˩˧]	↦ fik5 [fɪk̚˩˧]	↦ ˏfik [fɪk̚˩˧]	↦ ˏfik [fɪk̚˩˧]	↦ fíhk [fɪk̚˩˧]
fiːm˥	⠋⠖⠀	ᄫᅵᆷ	fim1	fim1	fim55^1	fim55^1	fim	fïm	fim1	fim1°	ˈfim	ˈfim	fīm
fiːm˥˧	↦ ⠋⠖⠀ [fiːm˥]	↦ ᄫᅵᆷ [fiːm˥]	↦ fim1 [fiːm˥]	↦ fim1 [fiːm˥]	fim53^1	fim53^1	↦ fim [fiːm˥]	↦ fïm [fiːm˥]	↦ fim1 [fiːm˥]	fim1	↦ ˈfim [fiːm˥]	↦ ˈfim [fiːm˥]	fìm
fiːm˧	⠋⠖⠈	ᄫᅵᆷ〮	fim3	fim3	fim33^3	fim33^3	fìm	fîm	fim3	fim3	ˉfim	ˉfim	fim
fiːm˧˥	⠋⠖⠁	ᄫᅵᆷ〯	fim2	fim2	fim35^2	fim35^2	fím	fĩm	fim2	fim2	ˊfim	ˊfim	fím
fiːm˨	⠋⠖⠂	ᄫᅵᆷ̣	fim6	fim6	fim22_3	fim22_3	fīm	fìm	fim6	fim6	ˍfim	ˍfim	fihm
fiːm˩	⠋⠖⠄	ᄫᅵᆷ̲	fim4	fim4	fim11_1	fim11_1	fîm	fim	fim4	fim4	ˌfim	ˌfim	fìhm
fiːm˩˧	⠋⠖⠠	ᄫᅵᆷ̤	fim5	fim5	fim13_2	fim13_2	fǐm	fím	fim5	fim5	ˏfim	ˏfim	fíhm
fiːn˥	⠋⠲⠀	ᄫᅵᆫ	fin1	fin1	fin55^1	fin55^1	fin	fïn	fin1	fin1°	ˈfin	ˈfin	fīn
fiːn˥˧	↦ ⠋⠲⠀ [fiːn˥]	↦ ᄫᅵᆫ [fiːn˥]	↦ fin1 [fiːn˥]	↦ fin1 [fiːn˥]	fin53^1	fin53^1	↦ fin [fiːn˥]	↦ fïn [fiːn˥]	↦ fin1 [fiːn˥]	fin1	↦ ˈfin [fiːn˥]	↦ ˈfin [fiːn˥]	fìn
fiːn˧	⠋⠲⠈	ᄫᅵᆫ〮	fin3	fin3	fin33^3	fin33^3	fìn	fîn	fin3	fin3	ˉfin	ˉfin	fin
fiːn˧˥	⠋⠲⠁	ᄫᅵᆫ〯	fin2	fin2	fin35^2	fin35^2	fín	fĩn	fin2	fin2	ˊfin	ˊfin	fín
fiːn˨	⠋⠲⠂	ᄫᅵᆫ̣	fin6	fin6	fin22_3	fin22_3	fīn	fìn	fin6	fin6	ˍfin	ˍfin	fihn
fiːn˩	⠋⠲⠄	ᄫᅵᆫ̲	fin4	fin4	fin11_1	fin11_1	fîn	fin	fin4	fin4	ˌfin	ˌfin	fìhn
fiːn˩˧	⠋⠲⠠	ᄫᅵᆫ̤	fin5	fin5	fin13_2	fin13_2	fǐn	fín	fin5	fin5	ˏfin	ˏfin	fíhn
fiːp̚˥	⠋⠯⠀	ᄫᅵᆸ	fip7	fip1	fip55^4	fip55^4	fip	fïb	fib1	fip1°	ˈfip	ˈfip	fīp
fiːp̚˥˧	↦ ⠋⠯⠀ [fiːp̚˥]	↦ ᄫᅵᆸ [fiːp̚˥]	↦ fip7 [fiːp̚˥]	↦ fip1 [fiːp̚˥]	⊖	⊖	↦ fip [fiːp̚˥]	↦ fïb [fiːp̚˥]	↦ fib1 [fiːp̚˥]	fip1	↦ ˈfip [fiːp̚˥]	↦ ˈfip [fiːp̚˥]	fìp
fiːp̚˧	⠋⠯⠈	ᄫᅵᆸ〮	fip8	fip3	fip33-4	fip33-4	fìp	fîb	fib3	fip3	ˉfip	ˉfip	fip
fiːp̚˧˥	⠋⠯⠁	ᄫᅵᆸ〯	fip2	fip2	⊖	⊖	fíp	fĩb	fib2	fip2	ˊfip	ˊfip	fíp
fiːp̚˨	⠋⠯⠂	ᄫᅵᆸ̣	fip9	fip6	fip22_4	fip22_4	fīp	fìb	fib6	fip6	ˍfip	ˍfip	fihp
fiːp̚˩	⠋⠯⠄	ᄫᅵᆸ̲	fip4	fip4	⊖	⊖	fîp	fib	fib4	fip4	ˌfip	ˌfip	fìhp
fiːp̚˩˧	⠋⠯⠠	ᄫᅵᆸ̤	fip5	fip5	⊖	⊖	fǐp	fíb	fib5	fip5	ˏfip	ˏfip	fíhp
fiːt̚˥	⠋⠾⠀	ᄫᅵᆮ	fit7	fit1	fit55^4	fit55^4	fit	fïd	fid1	fit1°	ˈfit	ˈfit	fīt
fiːt̚˥˧	↦ ⠋⠾⠀ [fiːt̚˥]	↦ ᄫᅵᆮ [fiːt̚˥]	↦ fit7 [fiːt̚˥]	↦ fit1 [fiːt̚˥]	⊖	⊖	↦ fit [fiːt̚˥]	↦ fïd [fiːt̚˥]	↦ fid1 [fiːt̚˥]	fit1	↦ ˈfit [fiːt̚˥]	↦ ˈfit [fiːt̚˥]	fìt
fiːt̚˧	⠋⠾⠈	ᄫᅵᆮ〮	fit8	fit3	fit33-4	fit33-4	fìt	fîd	fid3	fit3	ˉfit	ˉfit	fit
fiːt̚˧˥	⠋⠾⠁	ᄫᅵᆮ〯	fit2	fit2	⊖	⊖	fít	fĩd	fid2	fit2	ˊfit	ˊfit	fít
fiːt̚˨	⠋⠾⠂	ᄫᅵᆮ̣	fit9	fit6	fit22_4	fit22_4	fīt	fìd	fid6	fit6	ˍfit	ˍfit	fiht
fiːt̚˩	⠋⠾⠄	ᄫᅵᆮ̲	fit4	fit4	⊖	⊖	fît	fid	fid4	fit4	ˌfit	ˌfit	fìht
