-	braille	hangul	ile	jyutping	kuping	kuping_alt	meyer_wempe	penkyamp	rao	sidneylau	slwong_phonetic	slwong_roman	yale
ɕœːn˥	△	△	↦ soen1 [sɵn˥]	↦ soen1 [sœːn˥]	sjoen55^1	sjoen55^1	sheun	↦ seön [sœːn˥]	↦ sên1 [sɵn˥]	↦ seun1° [sœːn˥]	↦ ˈsœn [sɵn˥]	↦ ˈseun [sɵn˥]	↦ sēun [sɵn˥]
ɕœːn˥˧	△	△	↦ soen1 [sɵn˥]	↦ soen1 [sœːn˥]	sjoen53^1	sjoen53^1	↦ sheun [ɕœːn˥]	↦ seön [sœːn˥]	↦ sên1 [sɵn˥]	↦ seun1 [sœːn˥˧]	↦ ˈsœn [sɵn˥]	↦ ˈseun [sɵn˥]	↦ sèun [sɵn˥˧]
ɕœːn˧	△	△	↦ soen3 [sɵn˧]	↦ soen3 [sœːn˧]	sjoen33^3	sjoen33^3	sheùn	↦ seôn [sœːn˧]	↦ sên3 [sɵn˧]	↦ seun3 [sœːn˧]	↦ ˉsœn [sɵn˧]	↦ ˉseun [sɵn˧]	↦ seun [sɵn˧]
ɕœːn˧˥	△	△	↦ soen2 [sɵn˧˥]	↦ soen2 [sœːn˧˥]	sjoen35^2	sjoen35^2	sheún	↦ seõn [sœːn˧˥]	↦ sên2 [sɵn˧˥]	↦ seun2 [sœːn˧˥]	↦ ˊsœn [sɵn˧˥]	↦ ˊseun [sɵn˧˥]	↦ séun [sɵn˧˥]
ɕœːn˨	△	△	↦ soen6 [sɵn˨]	↦ soen6 [sœːn˨]	sjoen22_3	sjoen22_3	sheūn	↦ seòn [sœːn˨]	↦ sên6 [sɵn˨]	↦ seun6 [sœːn˨]	↦ ˍsœn [sɵn˨]	↦ ˍseun [sɵn˨]	↦ seuhn [sɵn˨]
ɕœːn˩	△	△	↦ soen4 [sɵn˩]	↦ soen4 [sœːn˩]	sjoen11_1	sjoen11_1	sheûn	↦ seon [sœːn˩]	↦ sên4 [sɵn˩]	↦ seun4 [sœːn˩]	↦ ˌsœn [sɵn˩]	↦ ˌseun [sɵn˩]	↦ sèuhn [sɵn˩]
ɕœːn˩˧	△	△	↦ soen5 [sɵn˩˧]	↦ soen5 [sœːn˩˧]	sjoen13_2	sjoen13_2	sheǔn	↦ seón [sœːn˩˧]	↦ sên5 [sɵn˩˧]	↦ seun5 [sœːn˩˧]	↦ ˏsœn [sɵn˩˧]	↦ ˏseun [sɵn˩˧]	↦ séuhn [sɵn˩˧]
ɕœːp̚˥	△	△	↦ soep7 [sœːp̚˥]	↦ soep1 [sœːp̚˥]	sjoep55^4	sjoep55^4	sheup	↦ seöb [sœːp̚˥]	↦ sêb1 [sœːp̚˥]	↦ seup1° [sœːp̚˥]	↦ ˈsœp [sœːp̚˥]	↦ ˈseup [sœːp̚˥]	↦ sēup [sœːp̚˥]
ɕœːp̚˥˧	△	△	↦ soep7 [sœːp̚˥]	↦ soep1 [sœːp̚˥]	⊖	⊖	↦ sheup [ɕœːp̚˥]	↦ seöb [sœːp̚˥]	↦ sêb1 [sœːp̚˥]	↦ seup1 [sœːp̚˥˧]	↦ ˈsœp [sœːp̚˥]	↦ ˈseup [sœːp̚˥]	↦ sèup [sœːp̚˥˧]
ɕœːp̚˧	△	△	↦ soep8 [sœːp̚˧]	↦ soep3 [sœːp̚˧]	sjoep33-4	sjoep33-4	sheùp	↦ seôb [sœːp̚˧]	↦ sêb3 [sœːp̚˧]	↦ seup3 [sœːp̚˧]	↦ ˉsœp [sœːp̚˧]	↦ ˉseup [sœːp̚˧]	↦ seup [sœːp̚˧]
ɕœːp̚˧˥	△	△	↦ soep2 [sœːp̚˧˥]	↦ soep2 [sœːp̚˧˥]	⊖	⊖	sheúp	↦ seõb [sœːp̚˧˥]	↦ sêb2 [sœːp̚˧˥]	↦ seup2 [sœːp̚˧˥]	↦ ˊsœp [sœːp̚˧˥]	↦ ˊseup [sœːp̚˧˥]	↦ séup [sœːp̚˧˥]
ɕœːp̚˨	△	△	↦ soep9 [sœːp̚˨]	↦ soep6 [sœːp̚˨]	sjoep22_4	sjoep22_4	sheūp	↦ seòb [sœːp̚˨]	↦ sêb6 [sœːp̚˨]	↦ seup6 [sœːp̚˨]	↦ ˍsœp [sœːp̚˨]	↦ ˍseup [sœːp̚˨]	↦ seuhp [sœːp̚˨]
ɕœːp̚˩	△	△	↦ soep4 [sœːp̚˩]	↦ soep4 [sœːp̚˩]	⊖	⊖	sheûp	↦ seob [sœːp̚˩]	↦ sêb4 [sœːp̚˩]	↦ seup4 [sœːp̚˩]	↦ ˌsœp [sœːp̚˩]	↦ ˌseup [sœːp̚˩]	↦ sèuhp [sœːp̚˩]
